Partie_ID,Date,Phase,Tour,Contrat,Type_Contrat,Joueur,Score_Avant,Score_Après,Réussi,Nb,Gain,Classement_final,Cible,Ordre,verifdiv
3,2025-10-08,P1,7,Couleurs,Spécial,Matthieu,82,41,0,,-41,4,3,3,1
3,2025-10-08,P1,7,Couleurs,Spécial,Lolo,154,77,0,,-77,2,3,4,1
3,2025-10-08,P1,8,17,Nombre,Stef,134,168,1,2,34,3,3,1,0
3,2025-10-08,P1,8,17,Nombre,Albert,162,213,1,3,51,1,3,2,0
3,2025-10-08,P1,8,17,Nombre,Matthieu,41,20,0,"-1,235294118",-21,4,3,3,1
3,2025-10-08,P1,8,17,Nombre,Lolo,77,111,1,2,34,2,3,4,0
3,2025-10-08,P1,9,57 pts,Spécial,Stef,168,84,0,,-84,3,3,1,1
3,2025-10-08,P1,9,57 pts,Spécial,Albert,213,270,1,,57,1,3,2,0
3,2025-10-08,P1,9,57 pts,Spécial,Matthieu,20,10,0,,-10,4,3,3,1
3,2025-10-08,P1,9,57 pts,Spécial,Lolo,111,55,0,,-56,2,3,4,1
3,2025-10-08,P1,10,16,Nombre,Stef,84,100,1,1,16,3,3,1,0
3,2025-10-08,P1,10,16,Nombre,Albert,270,302,1,2,32,1,3,2,0
3,2025-10-08,P1,10,16,Nombre,Matthieu,10,26,1,1,16,4,3,3,0
3,2025-10-08,P1,10,16,Nombre,Lolo,55,103,1,3,48,2,3,4,0
3,2025-10-08,P1,11,Peluche,Spécial,Stef,100,50,0,,-50,3,3,1,1
3,2025-10-08,P1,11,Peluche,Spécial,Albert,302,314,1,,12,1,3,2,0
3,2025-10-08,P1,11,Peluche,Spécial,Matthieu,26,46,1,,20,4,3,3,0
3,2025-10-08,P1,11,Peluche,Spécial,Lolo,103,115,1,,12,2,3,4,0
3,2025-10-08,P1,12,15,Nombre,Stef,50,80,1,2,30,3,3,1,0
3,2025-10-08,P1,12,15,Nombre,Albert,314,389,1,5,75,1,3,2,0
3,2025-10-08,P1,12,15,Nombre,Matthieu,46,23,0,"-1,533333333",-23,4,3,3,1
3,2025-10-08,P1,12,15,Nombre,Lolo,115,145,1,2,30,2,3,4,0
3,2025-10-08,P1,13,Triple,Spécial,Stef,80,101,1,,21,3,3,1,0
3,2025-10-08,P1,13,Triple,Spécial,Albert,389,194,0,,-195,1,3,2,1
3,2025-10-08,P1,13,Triple,Spécial,Matthieu,23,11,0,,-12,4,3,3,1
3,2025-10-08,P1,13,Triple,Spécial,Lolo,145,190,1,,45,2,3,4,0
3,2025-10-08,P1,14,14,Nombre,Stef,101,143,1,3,42,3,3,1,0
3,2025-10-08,P1,14,14,Nombre,Albert,194,236,1,3,42,1,3,2,0
3,2025-10-08,P1,14,14,Nombre,Matthieu,11,39,1,2,28,4,3,3,0
3,2025-10-08,P1,14,14,Nombre,Lolo,190,218,1,2,28,2,3,4,0
3,2025-10-08,P1,15,Double,Spécial,Stef,143,157,1,,14,3,3,1,0
3,2025-10-08,P1,15,Double,Spécial,Albert,236,118,0,,-118,1,3,2,1
3,2025-10-08,P1,15,Double,Spécial,Matthieu,39,19,0,,-20,4,3,3,1
3,2025-10-08,P1,15,Double,Spécial,Lolo,218,234,1,,16,2,3,4,0
3,2025-10-08,P1,16,13,Nombre,Stef,157,209,1,4,52,3,3,1,0
3,2025-10-08,P1,16,13,Nombre,Albert,118,144,1,2,26,1,3,2,0
3,2025-10-08,P1,16,13,Nombre,Matthieu,19,9,0,"-0,7692307692",-10,4,3,3,1
3,2025-10-08,P1,16,13,Nombre,Lolo,234,117,0,-9,-117,2,3,4,1
3,2025-10-08,P1,17,25,Spécial,Stef,209,104,0,"-4,2",-105,3,3,1,1
3,2025-10-08,P1,17,25,Spécial,Albert,144,194,1,2,50,1,3,2,0
3,2025-10-08,P1,17,25,Spécial,Matthieu,9,4,0,"-0,2",-5,4,3,3,1
3,2025-10-08,P1,17,25,Spécial,Lolo,117,142,1,1,25,2,3,4,0
4,2025-10-08,P1,1,Capital,Points,Thib,0,19,1,,19,1,4,1,0
4,2025-10-08,P1,1,Capital,Points,Toussaint,0,31,1,,31,3,4,2,0
4,2025-10-08,P1,1,Capital,Points,Evan,0,11,1,,11,4,4,3,0
4,2025-10-08,P1,1,Capital,Points,Q,0,71,1,,71,2,4,4,0
4,2025-10-08,P1,2,20,Nombre,Thib,19,9,0,"-0,5",-10,1,4,1,1
4,2025-10-08,P1,2,20,Nombre,Toussaint,31,51,1,1,20,3,4,2,0
4,2025-10-08,P1,2,20,Nombre,Evan,11,31,1,1,20,4,4,3,0
